"","MAP","MFRI"
"646",502.6168295147,6.7
"647",486.681685728659,6.7
"648",480.171388477454,6.7
"649",479.255467518775,6.091
"650",487.210745004574,5.583
"651",491.881608818102,5.583
"652",491.987752612898,8.375
"653",494.620907454589,5.583
"654",499.503784624591,5.583
"655",501.499333562848,7.444
"656",502.23886569079,7.444
"657",518.114617809559,7.444
"658",526.332415923659,7.444
"659",526.504960817786,7.444
"660",519.23361914462,9.571
"661",522.264054649683,9.571
"662",512.747649782002,9.571
"663",514.039930577755,7.444
"664",507.823744138385,7.444
"665",508.548651629078,6.7
"666",515.120605985978,5.583
"667",510.979248162588,4.786
"668",506.373687648034,4.786
"669",502.257708886001,4.467
"670",501.011984225542,4.467
"671",506.013071081673,11.167
"672",525.801942995549,11.167
"673",523.28826543452,11.167
"674",510.866539507371,11.167
"675",495.514457602583,13.4
"676",488.092083206553,11.167
"677",487.884505337044,13.4
"678",487.820781755368,13.4
"679",479.972602081875,11.167
"680",474.029957579652,11.167
"681",472.512309586097,13.4
"682",466.08298367931,8.375
"683",463.883605004375,8.375
"684",460.909916021738,8.375
"685",459.00662367197,8.375
"686",476.74073191505,7.444
"687",521.000206068241,7.444
"688",535.403070104478,7.444
"689",527.44138385004,7.444
"690",530.206558442678,6.7
"691",503.556417649255,6.7
"692",495.475901093066,6.7
"693",483.657320408993,6.091
"694",480.952247425952,5.583
"695",490.742647478165,5.583
"696",493.014025101375,5.583
"697",495.449238510415,6.091
"698",497.930907506855,5.154
"699",504.143492446958,4.786
"700",511.18465198244,5.154
"701",520.686561812108,7.444
"702",519.248799635085,7.444
"703",527.50645369094,7.444
"704",528.99872176585,7.444
"705",529.414957525081,7.444
"706",533.239530314259,6.7
"707",521.814345265378,7.444
"708",521.999490899938,6.7
"709",519.957193283224,7.444
"710",520.130985611093,7.444
"711",518.86018647349,5.154
"712",512.643205625624,4.786
"713",508.112182565041,4.467
"714",503.952542605359,4.467
"715",503.670966061694,4.786
"716",481.990363494304,11.167
"717",508.611056215764,11.167
"718",519.937990367661,11.167
"719",522.302629769089,11.167
"720",520.180490572152,11.167
"721",514.783611828026,9.571
"722",507.670438128077,9.571
"723",502.865413692037,11.167
"724",502.374339406423,11.167
"725",494.977254416616,11.167
"726",488.747350285848,11.167
"727",484.663808017109,11.167
"728",475.726295872121,11.167
"729",469.098974985078,7.444
"730",464.921458796409,6.7
"731",462.338869031651,7.444
"732",462.34877886948,9.571
"733",487.909538866299,7.444
"734",535.092842353424,7.444
"735",533.073209880462,6.7
"736",541.191002114469,6.7
"737",539.195647918615,6.091
"738",508.221733915834,6.091
"739",491.693782597335,5.583
"740",487.069029230877,4.467
"741",492.681652330076,4.786
"742",495.327366352452,5.154
"743",497.40844123666,6.091
"744",501.395325464006,4.786
"745",505.703082132645,4.786
"746",514.625824019823,4.786
"747",525.754791619788,5.154
"748",534.179841360603,7.444
"749",533.11231547013,6.7
"750",532.313174884518,5.583
"751",531.600542659762,5.583
"752",527.631757718225,6.091
"753",517.55350446569,5.583
"754",517.690976400497,6.091
"755",514.727232025262,6.091
"756",510.416511444563,5.583
"757",517.256279842571,5.154
"758",514.749089487458,4.188
"759",509.159423475523,4.467
"760",504.539545648719,5.583
"761",496.700931246079,6.091
"762",495.79137886603,5.154
"763",485.878592322998,13.4
"764",503.924187814942,11.167
"765",514.502187799553,11.167
"766",515.520061420445,11.167
"767",523.376511852374,11.167
"768",526.249238174881,11.167
"769",523.196421320031,11.167
"770",521.1899516068,13.4
"771",521.370692805036,13.4
"772",517.016740666129,11.167
"773",515.553261419179,11.167
"774",508.695981000914,11.167
"775",493.940079828635,9.571
"776",484.864510543395,11.167
"777",478.424825307527,13.4
"778",473.916476522281,13.4
"779",467.437282440947,11.167
"780",465.760205115292,8.375
"781",475.361289708953,8.375
"782",488.823518773674,7.444
"783",522.054944605644,7.444
"784",544.82339402578,6.7
"785",542.247724439876,6.091
"786",522.449506017162,6.091
"787",499.486571343472,5.583
"788",490.933503973352,5.154
"789",493.687537884465,4.467
"790",496.683954793118,4.467
"791",501.692012723529,5.583
"792",506.182713041847,4.188
"793",510.360335432238,4.786
"794",513.87105006125,4.467
"795",528.900141756541,4.786
"796",539.581783411197,4.786
"797",537.28564312711,6.091
"798",530.443249345527,6.091
"799",525.263960326092,5.583
"800",521.277606255446,6.091
"801",516.213241092104,6.091
"802",510.277694815865,6.7
"803",507.567625446559,6.091
"804",499.884136716184,5.154
"805",507.066157000526,4.786
"806",509.734938435584,4.786
"807",504.843732302122,5.583
"808",496.362789550908,6.7
"809",480.334087936342,5.583
"810",475.605332078656,5.583
"811",499.415144065607,11.167
"812",502.534215182329,11.167
"813",512.340394115571,11.167
"814",528.073725288725,9.571
"815",540.268138609991,9.571
"816",545.038714029251,9.571
"817",539.931144046866,9.571
"818",537.028116847059,11.167
"819",527.922361838319,11.167
"820",518.878055633832,16.75
"821",508.659277598577,13.4
"822",500.472075868853,11.167
"823",500.084704583739,11.167
"824",490.122656896045,13.4
"825",480.703299702185,9.571
"826",473.559196274142,11.167
"827",467.712357272425,7.444
"828",469.822449838242,7.444
"829",501.10418512196,6.7
"830",570.689431879471,6.091
"831",577.17319892086,6.091
"832",543.237078501389,6.091
"833",536.414532951694,6.091
"834",511.875005681609,5.583
"835",496.20726391085,5.154
"836",502.442418270389,4.467
"837",502.510679467931,4.188
"838",506.852200588566,4.188
"839",508.252417651564,4.188
"840",511.775878929313,4.188
"841",514.184549836826,4.467
"842",521.622481797349,4.786
"843",537.712707826145,4.467
"844",539.107441620725,4.786
"845",534.61897148601,5.154
"846",528.802740044113,5.154
"847",521.011339905025,5.154
"848",517.755332446998,4.786
"849",508.048755836682,5.583
"850",503.210035574614,5.583
"851",492.254338939823,5.154
"852",494.396804994967,5.154
"853",494.579868925891,6.091
"854",488.960893521836,6.091
"855",482.757166071392,6.7
"856",477.412648569824,6.7
"857",466.563813802957,7.444
"858",492.110057182664,6.7
"859",494.771209695034,11.167
"860",505.240377913059,11.167
"861",527.823488183477,9.571
"862",542.141496957125,9.571
"863",552.034301101544,9.571
"864",552.561017056508,9.571
"865",543.593299507122,9.571
"866",541.643128340979,11.167
"867",534.307996456505,11.167
"868",526.172218894469,9.571
"869",520.054747167531,9.571
"870",519.725352863437,11.167
"871",510.08641848451,11.167
"872",499.3336507241,9.571
"873",491.892970105952,9.571
"874",485.257574270154,9.571
"875",468.482492753952,8.375
"876",468.105880495799,6.7
"877",474.950302924818,6.091
"878",497.741113900775,5.583
"879",530.941565142666,5.583
"880",532.632472250365,5.583
"881",553.243136217138,5.154
"882",529.88189850785,5.583
"883",507.369112984902,5.154
"884",508.303732881298,4.188
"885",511.528519195699,4.188
"886",511.209367592045,3.941
"887",512.140908379891,4.467
"888",515.34861592882,4.188
"889",518.218729077442,3.941
"890",528.661640002412,4.188
"891",534.146252203076,4.188
"892",541.404842726073,4.786
"893",535.964832766025,5.583
"894",532.479155348494,5.583
"895",521.729723250863,5.154
"896",518.047451795323,4.786
"897",514.642352966463,4.786
"898",507.325007111554,5.583
"899",493.571154861931,5.583
"900",491.15983946387,6.091
"901",489.047766759128,6.091
"902",481.140462366536,6.091
"903",480.266495144901,7.444
"904",472.842434623695,7.444
"905",469.565054278173,7.444
"906",492.614692251936,6.091
"907",488.716523219572,11.167
"908",512.663528936616,11.167
"909",546.776587047946,9.571
"910",543.959973657133,9.571
"911",547.014829443451,9.571
"912",529.213014316758,11.167
"913",532.897537535036,9.571
"914",543.583109390286,9.571
"915",545.987748579852,11.167
"916",547.374041632514,11.167
"917",539.217163840514,11.167
"918",530.500464465244,9.571
"919",519.436120554932,9.571
"920",507.846762559712,8.375
"921",498.469435159498,9.571
"922",472.217195366758,8.375
"923",468.631828184754,6.091
"924",475.201100505214,6.091
"925",485.74702068313,5.583
"926",504.197377625695,5.583
"927",531.936812470502,5.583
"928",556.166638280446,4.786
"929",539.05448740023,5.154
"930",510.217245816785,5.154
"931",505.433108241053,4.188
"932",509.363153755064,4.467
"933",512.555954103987,4.188
"934",517.23612228912,4.188
"935",522.326510725399,4.188
"936",529.183790413064,3.941
"937",545.289895320886,4.786
"938",542.565094309521,4.786
"939",541.943046397279,4.786
"940",536.535896692788,4.188
"941",528.456644847873,5.154
"942",525.599352600156,5.154
"943",525.92983197662,4.786
"944",520.07456203946,4.786
"945",517.080161266834,5.154
"946",508.558359953873,6.7
"947",505.652962775805,6.7
"948",499.155418056417,6.7
"949",496.461243964691,6.7
"950",489.379658002835,6.7
"951",480.651443103337,6.7
"952",480.724570431436,6.7
"953",497.516564974684,5.583
"954",515.58842177365,11.167
"955",534.74722752801,9.571
"956",555.505667426703,11.167
"957",559.801374280112,11.167
"958",563.02647537245,9.571
"959",568.394586639717,9.571
"960",567.907330787048,8.375
"961",549.852643300145,7.444
"962",550.921858966519,7.444
"963",549.7603493907,7.444
"964",534.316367193313,7.444
"965",502.807266739011,8.375
"966",480.116890898553,7.444
"967",471.606652877292,6.7
"968",474.34670958622,6.091
"969",479.7302174543,5.583
"970",491.933691596936,5.583
"971",520.990128641801,5.583
"972",548.324490430546,5.583
"973",553.563497785411,4.786
"974",521.704041364207,5.154
"975",510.419803495021,4.467
"976",509.384551687276,4.467
"977",513.167315053861,4.188
"978",523.92930181594,4.188
"979",526.091595544708,3.941
"980",536.177534413126,3.722
"981",543.343839776466,4.467
"982",544.022745612557,4.786
"983",543.59999871152,4.786
"984",538.486199498423,4.467
"985",533.536122751124,3.941
"986",537.990036120329,4.786
"987",538.609526681591,4.786
"988",534.61028387061,5.583
"989",529.445563973514,5.583
"990",522.995972150026,6.091
"991",522.006416129339,6.7
"992",513.853621599091,6.7
"993",515.877692165913,6.7
"994",501.778631648272,6.7
"995",490.217145338546,6.091
"996",492.030550059645,5.583
"997",504.784735017852,5.154
"998",505.057642435953,6.091
"999",494.727131542811,11.167
"1000",511.85351010035,11.167
"1001",515.114866561321,11.167
"1002",517.394348719912,11.167
"1003",532.974583880997,8.375
"1004",552.993131603533,8.375
"1005",566.747946037669,7.444
"1006",574.665493609441,7.444
"1007",573.387438271826,7.444
"1008",571.071279988597,7.444
"1009",544.524648647985,7.444
"1010",507.406766423524,7.444
"1011",493.683210889133,6.7
